title,year,make,model,trim,certified,mileage,price,url,is_sponsored,sponsor_name
Certified 2023 Toyota 4Runner SR5 Premium,2023.0,Toyota,4Runner,SR5 Premium,True,"19,736 miles","51,491",https://www.autotrader.com/cars-for-sale/vehicle/745568477?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,False,
,,,,,False,"8,972 miles","56,997",https://www.autotrader.com/cars-for-sale/vehicle/746090175?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Michael's Toyota of Bellevue
,,,,,False,"163,551 miles","20,799",https://www.autotrader.com/cars-for-sale/vehicle/742072105?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Audi Tacoma
Certified 2023 Toyota 4Runner SR5 Premium,2023.0,Toyota,4Runner,SR5 Premium,True,"19,736 miles","51,491",https://www.autotrader.com/cars-for-sale/vehicle/745568477?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,False,
,,,,,False,"8,972 miles","56,997",https://www.autotrader.com/cars-for-sale/vehicle/746090175?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Michael's Toyota of Bellevue
,,,,,False,"163,551 miles","20,799",https://www.autotrader.com/cars-for-sale/vehicle/742072105?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Audi Tacoma
Certified 2023 Toyota 4Runner SR5 Premium,2023.0,Toyota,4Runner,SR5 Premium,True,"19,736 miles","51,491",https://www.autotrader.com/cars-for-sale/vehicle/745568477?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,False,
,,,,,False,"8,972 miles","56,997",https://www.autotrader.com/cars-for-sale/vehicle/746090175?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Michael's Toyota of Bellevue
,,,,,False,"163,551 miles","20,799",https://www.autotrader.com/cars-for-sale/vehicle/742072105?allListingType=all-cars&city=Bellingham&makeCode=TOYOTA&modelCode=4RUN&searchRadius=200&state=WA&clickType=spotlight,True,Audi Tacoma
